Tweet,Date of Tweet,Topic,Parent Tweet
"Bro imagine today is Friday , big star movie is coming won't you watch and review it ???","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Dei unnoda akkarai TN mela not on others and what they're doing,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
En ninga ivara matum mention panuringa naraiya peru ipadi than irukanga..Inaki oru padam release ago irunthu ninga review Pani Iruka matinga??,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"What is happening in Thoothukudi is totally not good , but cricket commentary is his profession ! Will u stop reviewing movies till sterlite is banned ??","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Ungaluku Sterlite protest prachanaya illa Balaji prachanaya????,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Ipo neenga tweet podra nala matram vara pogutha enna,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
"bro., i would like you to see this too","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
https://twitter.com/itisprashanth/status/998780206373470208?s=19… for your info,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Shankar potathu unaku therila !@RJ_Balaji potathu matum tha theriyum! Yur a selfish guy !,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Bro avaru already oru tweet potaru bro..About sterlite issue..Neenga itha matum potu avara apdi solrathu wrong bro...,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Avan enna pota unaku enna da.. avan Sterlite kum tha tweet potan..appo nee onnu solala..poda Panda,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
Why this much kaandu...,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite"
