Tweet,Date of Tweet,Topic,Parent Tweet,Language
"Bro imagine today is Friday , big star movie is coming won't you watch and review it ???","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Dei unnoda akkarai TN mela not on others and what they're doing,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
En ninga ivara matum mention panuringa naraiya peru ipadi than irukanga..Inaki oru padam release ago irunthu ninga review Pani Iruka matinga??,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"What is happening in Thoothukudi is totally not good , but cricket commentary is his profession ! Will u stop reviewing movies till sterlite is banned ??","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Ungaluku Sterlite protest prachanaya illa Balaji prachanaya????,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Ipo neenga tweet podra nala matram vara pogutha enna,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"bro., i would like you to see this too","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
https://twitter.com/itisprashanth/status/998780206373470208?s=19… for your info,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Shankar potathu unaku therila !@USER_32 potathu matum tha theriyum! Yur a selfish guy !,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Bro avaru already oru tweet potaru bro..About sterlite issue..Neenga itha matum potu avara apdi solrathu wrong bro...,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Avan enna pota unaku enna da.. avan Sterlite kum tha tweet potan..appo nee onnu solala..poda Panda,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Why this much kaandu...,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
SS eduthu podra alavuku avaru Mela Enna gaandu?? Don't involve ur personal issues in this kind of social issues ,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
It's not fair bro.. if u don't like him just ignore it...,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Thevai illadhe tweet.. Rj balaji ku csk pidijirkuna adhu avan personal.. Neenka adha nondi unka image kedudhu venam,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Itisprashanth neeyellan ethuku uyir vaalra. Aduthavanga moothratha kuduchu valrathuku saavalam. If u want to tell something just tell. I had a respect on u . But u r totally going after fame and grudge. Go and fuck urself, just a utter crap u are. Waste of birth....","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Itisprashanth neeyellan ethuku uyir vaalra. Aduthavanga moothratha kuduchu valrathuku saavalam. If u want to tell something just tell. I had a respect on u . But u r totally going after fame and grudge. Go and fuck urself, just a utter crap u are. Waste of birth..","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
taking screenshot of people who post about csk and tweeting it. does that mean they dont care about #SterliteProtest ??,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Deiii IAMK paathutu 70 kuduthuven thaana da neee ! Periya olungu maari mathavangala pesura,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Moodi2 po..it's his right to watch cricket..shut up and do your work...when you have rights to talk about others film, why not he? Stupid. Nonsense.","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Prashanth don't take cheap shots. Everyone feels for sterlite issue at the same time every one continues with their day to day life. I have respect for your reviews and content don't use that trust for your own hunger.,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"But.. Friday two or more movies release aagum

 Appo nenga .. review panna ah irupangala... Sollunga... 
@USER_65
  @USER_32","May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
வேரறுக்க படவேண்டிய விஷம்.,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
Ni yen da aven suutha nondra? Panda,"May 22, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Dei asingama kepen avan commentry velaya avan paakaraan Ni mattum unnoda review velaya paakara la idhe avar panna thappa?,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"உன்னால என்ன புடுங்க புடியுமோ அத மட்டும் புடிங்கு,அடத்தவன் என்ன பண்ணனும்னு  சொல்ற தகுதி உனக்கு கிடையாது ,உனக்கு மட்டும் தான் அக்கறை இருக்கு மத்தவலாம் என்ன சொம்பையா,நீ சரியான sadist போல , எப்ப பாரு எவணயாச்சும் குறை சொல்லிகிட்டு திறியரது,iamk க்கு 70 மார்க் குடுத்த சமூக பொறுப்பாளரே.","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Iamk for money,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
ஒத்தா இது என்ன மயிருடா நீங்க ரெண்டு பேரும் ஒன்னு தான் அவனாவது ஊருக்கு உபயம ஒரு விஷயமவது பன்னிருக்க நீ எப்படி சந்தர்ப்பம் கிடைக்கும் நல்லவன் வேஷம் போடலாம்னு திரியுற எச்ச,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
Did not expect this tweet from you . Will you stop reviewing movies till sterlite is banned??,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"So u r not going to do review until all problem solved???? 
@USER_65","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"Othaa Kena punda adha Ni sollatha , punda movane , aprm Ena pundaiku da IPL venue mathuna apram padam punda paakura , CMB vanthuducha ootha oodi poitu , panam aripetuthavane","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"#male prostitute 
@USER_65","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Dai mutta bonda... panda... Ivaru vandhutaaru solrathukku...neeye inneram padam release aachuna review thanda poturpa...avan Tamil ipl commentary la irukaan poda dhaan seivaan about cricket... Unakku tn mela akkara la kedaiyadhu..rj balaji mela gaadu..Mutta bonda..odu da apdi,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Wat is u r motive Prashanth is to degrade some one will you be able to ask  6.8 million people who watched the match in hotstar.  I appreciate you concern towards people  but don't try pull someone down and you to be in the limelight. Do good things in silence eg Rajini Vijay etc,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Ivanuku tamilnadu makkal mealam Akarai illa Rj Balaji  meala Gaandu Adaan ipadilam post podran publicity paithiyam Non of ur BussiNesssss,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Aduthavan Thaki pesi valathinga... Unaku Ena thonuthuo solitu poo,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Inaiku Friday va irndha Aatikitu poi Review panirpa. Neeyelamm pesalama.,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"You all asking questions who are not in part of the political parties. If u all have guts Pls ask those first. What he do it's really bad but asking question to them is totally wrong 
@USER_32
 .  It's part of his work. If u feel don't give any movie review today? Let's see","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Dai fb la oru post pota ena da thapu ne pasatha da nayee Na unaku contact pana try pana ne oru reply paniya pani payalee,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
அவ்வளவு கோபம் வருமாயின் நீங்கள் இவ்வளவு மானமுள்ள மனிதன் என்பதாலும் உங்கள் விமர்சன தொழிலில் கொஞ்ச நாள் வரை மாட்டீர்கள் என நம்புகிறேன்.. அடுத்தவரை குறை கூற நம்மை நாமே சிந்திக்க வேண்டும் நண்பரே..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
"Same game mental 
@USER_93","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
You are a senseless moron..you protested against IPL for cauvery...and did you get water??thwu...ithukku peru .....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
If you have a spine then stop reviewing untill all problems are sort out,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Ne match pakkale,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Nee eruma maadu,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Dai poramboku he critizise you to one member only , that too not in social media , but you , coward","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
டேய் பாண்டா .. நாளை மறுநாள் புது படத்துக்கு சோம்படிக்க போட்டுவ.. நீ அடுத்தவன குறை சொல்ற..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
"@USER_32
 mela apdi ena gandu ungaluku mr.panda 
@USER_65","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Athu ellam avangaloda thanipattu viruppam avangala nee onnum solla kudathu,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
What's Ur problem......if a movie releases today means u will review it or not? If u do u say it as Ur professiona at dat time Ur right.....if d same done by him means he s wrong.....what logic is diz.... selfish giant,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"Enn neemattum ipdi irukae loosu-avarae avar thozhilae paakuraru by hosting 
@USER_18
 Appo jeichadhae kudava share pannakudadhu Unn Mela irundhae Mariyadhae kudae veruppa maarudhu Ippo","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Nee periya olunga da,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Brother it’s for you  First post is for personal though and second is his profession ji. And neeinga ithuku govt solution thara varaiyum neeinga video poda mateingala? Don’t criticise other just give support for #BanSterilte brother sorry if I said wrongly 
@USER_32","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"Naa solradha epd  nee kandukka maatiyo,adhe dhan nee solradha avaru kandukka maataru..Nee periya mayiruna nerla poi support pannuda..Twitterla 4 tweet potu tamilan nu solluva.Apram poi murukka marketing pannuva,apo unaku money theva iliya??","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
கண்ணாடிய பாத்து பேசுற மாதிரி ஒரு பீலிங் ....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",TAMIL
"The so called very honest, 'for the people' Prashanth. He has done far great contribution to the society far more than you. He has done his data research and doesn't mislead people unlike you.","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"Dae panda nayae ! 
@USER_32
 una block pana udanae jalikatuu madu for money nu solriyae da  seri apoo TN ku solution vara varaikum no review pana ma iru ","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
He is acting and you speak about it for YouTube ads n product endorsement. Atleast he came out and helped people during calamities. He is a people's voice. Social cause and personal finance are different!,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
unga mudhugule irukura aluke frst sorandunga apm aduthavan mudhuguku pogalam..  suma save thoothukudi nu hastag potuta pothuma... ponga sir ponga...  aduthavan ena panran nu pakurathe vitutu nammanale ena pana mudium nu parunga..,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Nee ithula oru velamparam theda paakura....,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Dude are you seriously mentally ill or something....even if you actually fight for the cause it looks like you are faking it big time. I appreciate your interest in this issue and your efforts to create awareness but  criticising everyone who supports a cricket team is stupid,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Un review pakkuromnu unaku thimira enda poi balaji profile page check pannuda karadi,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Intha tweet potathu yaaru,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Correct bro,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Cricket paakarthu avangaloda thanipatta virupam... Avar csk ku tweet pottalum Tamil naattukum potrukaru... Sterlite vechi ellarudaiya tweet screen shot vechi ungala mathri publicity thedala... Sunny leoneku thanga thalaivinu tweet podumbothu unarchilam enga pochi ungaluku... ,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
#sports is different politics is different RJ balaji is not a priest or politician there if you don't like him call him vandi vandi ya thittu don't encourage violence against him .,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
"Review pannurathu unga job 
Commentating pannu rathu avar job","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Nee moodra jaldra,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
reviewing unga work.. athey mari ippo commentary avaru work so atha pathi tweet poduraru.. ithula ungaluku enna kastam??,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Kaasu ka dhan review podura 
Ana 
@USER_32
 pota thappa ah?","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
"Just stop being absurd. Before jallikattu itself 
@USER_32
 anna had done so many deeds tat were worth applauding! I appreciate your intent but don’t degrade others’. This effort of yours will be called a publicity stunt as well in the near future! Better don’t degrade yourself","May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
Miss Miss avana parunga miss.,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",CODE-MIXED
Your Tweets and The comments are very Funny. Ungaluku Padam Entainment wenum Cricket entatinement wanam. Very good .Kindly make Strike again for this current Issue. . Semma comedy,"May 23, 2018",Jalikattu,"And tamil people, jalikattu maadu for money and fame. #SaveThoothukudi #BanSterlite",ENGLISH
