,comment
0,"பச்சை நிற சட்டையை போட்டு விட்டு , நீல சட்டை என்று ஏமாற்றும் மாறன் ஐயா சார்ப்பில் படம் வெற்றி பெற வாழ்துக்கள் .."
1,கருத்து கேட்டு கேட்டு கறுத்துப்போன ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்..️
2,படம்  பார்த்து விட்டு கதறி அழுத ரசிகர்கள் சார்பாக  படம் வெற்றி பெற வாழ்த்துக்கள்
3,ஆன்டி இந்தியன் படம் பார்க்காத அண்ணனின் விழுதுகள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
4,படம் பார்த்துவிட்டு வந்து இவன் எப்படி சொல்ரான்னு பாக்க வந்து இருக்கும் ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துககள்
5,இவங்க படத்தில கருத்துச்  சொல்லியே கருத்துவிட்டேன் என்று நீங்கள் சொன்ன வசனம் சூப்பர் அண்ணா . நன்றி வணக்கம்
6,வாத்திக்கே பாடம் எடுக்கும் ப்ளூ சட்டை ரசிகர்கள் சார்பாக வாழ்த்துக்கள்...
7,கோபி - சுதாகர் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
8,.. இவரு சொல்றத நம்ப வந்த ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
9,தல ரசிகர்கள் சார்பாக வெற்றி பெற வாழ்த்துக்கள்
10,ப்ளூ சட்டை ரிவியூ பன்னும் அளவிற்கு தகுதியான படத்தை மோகன் ஜீ அண்ணன் எடுக்கவேண்டும் என்று கோரிக்கை வைப்போர் சார்பாக வெற்றி பெற வாழ்த்துக்கள் 
11,வெயில் ரசிகர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் ️️️
12,டிரைவர்கள் கண்ணசராமல் இருக்க பாட்டு கேட்கும் ரசிகன் சார்பாக வாழ்த்துக்கள் 
13,கைலிக்குள் கைவிட்டு ஆட்டும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
14,இன்றுவரை வாரிசு மற்றும் துணிவு படம் பார்க்காத மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்.
15,ரீரிலிஸ் செய்யப்பட்ட விண்ணைத் தாண்டி வருவாயா படத்தின் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்....
16,தமிழ் சி்னிமாவ அசைக்க முடியாதுன்னு  நினைக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெர வாழ்த்துக்கள்
